name,description,imageUrl,tags,instagram,youtube,linkedin,link,whatsapp,meetup,nivel,pontuacao,linkCupom
The Liberators Brazil User Group,"Nós - The Liberators Network - somos uma comunidade global que existe para ajudar os praticantes de Scrum, outros Métodos Ágeis e de Estruturas Libertadoras, a encontrar suporte, oferecer ajuda e inspirar-se.",/2026/assets/images/comunidade_the_liberators_brazil_user_group.jpg,Agilidade;Produto;Projetos;Liderança,,,https://www.linkedin.com/company/the-liberators-network-brazil-user-group,,https://chat.whatsapp.com/LbP7LDrOqMqGNuptGfb4Ud,,2,2,https://www.even3.com.br/agilebrazil2026-746128?cp=TheLiberatorsBrazil
LeanCoffeeSP,"O Lean Coffee SP é uma comunidade paulistana que promove encontros presenciais e virtuais sobre metodologias ágeis, inovação e desenvolvimento de produtos. Foi pioneira no modelo no Brasil, com o primeiro encontro em 2012. Atualmente realiza encontros no bairro do Paraíso.",/2026/assets/images/comunidade_lean_coffee_sp.jpeg,Agilidade;Produto;Liderança,,,https://www.linkedin.com/company/leancoffeesp/,,https://chat.whatsapp.com/FNZzp14sSVZ3vrPw20y2Ee?mode=gi_t,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=LeanCoffeeSP
Produteiros Br,"🚀 Comunidade brasileira de Produto, IA e inovação. Um espaço para Product Managers, POs, UX, dados e tecnologia trocarem experiências, aprenderem juntos e criarem produtos com impacto real. 💡🔥",/2026/assets/images/comunidade_produteiros_br.png,Agilidade;Produto;Design;Liderança,,,,,https://chat.whatsapp.com/HZbYt7DK9K0ABvtN7HAWM1?mode=gi_t,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ProduteirosBr
Claude IA Brasil,"🤖 Comunidade brasileira focada em IA Generativa, Claude, automação e tecnologia. Compartilhe ideias, prompts, projetos e aprenda como usar IA para criar, inovar e crescer. 🚀🧠",/2026/assets/images/comunidade_claude_ia.png,Agilidade;Produto;Tecnologia;Inteligência Artificial;Liderança,,,,,https://chat.whatsapp.com/JWCarcSBcfaDjDqMh2V3DL?mode=gi_t,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ClaudeIA
Agile Minas,"Comunidade de agilistas para agilistas, que estejam interessados em compartilhar experiências e aprender com outros membros da comunidade mineira!",/2026/assets/images/agile-minas.png,Agilidade,https://www.instagram.com/agileminas/,,https://www.linkedin.com/company/agile-minas/posts/?feedView=all,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileMinas
Agile Curitiba,"Os mais de 1.200 membros da Comunidade Agile Curitiba são, em sua maioria, profissionais de tecnologia, gestão e inovação, interessados em metodologias ágeis, colaboração e melhoria contínua. Reúne pessoas de TI, startups, consultorias, gestores e líderes de diferentes setores.",/2026/assets/images/comunidade_agile_curitiba.png,Agilidade;Produto;Liderança,,,https://www.linkedin.com/company/agile-curitiba,,,https://www.meetup.com/comunidade-agile-curitiba,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileCuritiba
Café Debug,"O Café Debug é um popular podcast brasileiro focado no universo de ciência e tecnologia. Fundado em 2017 por Jéssica Nathany, o programa traz entrevistas quinzenais com especialistas para discutir desenvolvimento de software, arquitetura, tendências de mercado, inteligência artificial e carreira.",/2026/assets/images/comunidade_cafe_debug.jpg,Desenvolvimento;Tecnologia,https://www.instagram.com/cafedebugpodcast?igsh=b3dnbXNueTNoNWZ1,,,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=CafeDebug
WaveAgile,"📺 WaveAgile, criado por André Molero, aborda agilidade focada em resultados, indo além de rituais. O canal é voltado a Scrum Masters, Agile Coaches, PMs e líderes, com conteúdos para reduzir Lead Time e aumentar geração de valor. Soma +2 mil inscritos e +377 mil visualizações.",/2026/assets/images/comunidade_wave_agile.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,https://instagram.com/waveagile,https://www.youtube.com/@WaveAgile,,,,,3,2,https://www.even3.com.br/agilebrazil2026-746128?cp=WaveAgile
Agilidade preta,"Somos uma comunidade de pessoas pretas agilitas onde promovemos o incentivo e representatividade de pessoas pretas que estão inseridos no mercado de tecnologia, onde somos um grupo minorizado.",/2026/assets/images/comunidade_agilidade_preta.png,Agilidade;Tecnologia;Liderança,https://www.instagram.com/agilidadepreta/,,https://www.linkedin.com/company/agilidade-preta,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=Agilidadepreta
JORNADA COLABORATIVA,"A Jornada Colaborativa é uma comunidade focada em colaboração, agilidade, inovação, tecnologia, negócios e desenvolvimento profissional. Conecta profissionais e empresas por meio de eventos, mentorias e troca de experiências, promovendo aprendizado coletivo, networking e evolução.",/2026/assets/images/comunidade_jornada_colaborativa.jpg,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,https://www.instagram.com/jornadacolaborativa,,https://www.linkedin.com/company/jornadacolaborativa/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=JORNADaCOLABORATIVA
Tá Safo!,"Criada em 2007 no Pará, a comunidade sem hierarquia Tá Safo foca em tecnologias abertas e metodologias ágeis. O nome, gíria local para “tá beleza”, reflete sua essência colaborativa. Tá Safo significa: Tecnologias Abertas com Software Ágil, Fácil e Organizado.",/2026/assets/images/comunidade_ta_safo.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,https://www.instagram.com/comunidadetasafo/,,https://www.linkedin.com/company/tasafo,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=TaSafo
Inspira Tech Cast,"O Inspira Tech Cast, apresentado por Michele Roma, conecta tecnologia, propósito e inspiração. Traz conversas sobre inovação, liderança, agilidade, produtos digitais, transformação digital e carreira, com histórias reais e aprendizados práticos para quem acredita no poder transformador da tecnologia.",/2026/assets/images/comunidade_inspira_tech_cast.png,Tecnologia;Liderança,https://www.instagram.com/inspira.tech.cast,https://youtube.com/@inspira_tech,,,,,2,2,https://www.even3.com.br/agilebrazil2026-746128?cp=InspiraTechCast
DevRioClaro,"Uma comunidade com princípios de Colaboração, Aprendizado e Integração. Queremos que todos participem através de encontros, eventos e diálogos com o objetivo de unir pessoas, instituições e empresas para fortalecer a comunidade de TI de Rio Claro!",/2026/assets/images/comunidade_dev_rio_claro.png,Desenvolvimento;Tecnologia;Inteligência Artificial,,,https://www.linkedin.com/company/devrioclaro/,https://www.devrioclaro.com.br/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=DevRioClaro
Agile RiseUp Group,"A Agile RiseUp Group é uma comunidade voltada à agilidade, tecnologia, liderança e desenvolvimento profissional, conectando pessoas através de conteúdos, eventos, podcasts e networking. O grupo promove troca de conhecimento entre profissionais do mercado ágil, incentivando aprendizado contínuo, colaboração e crescimento de carreira.",/2026/assets/images/comunidade_agile_rise_up.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,,https://www.youtube.com/@AgileRiseUp,https://www.linkedin.com/company/agile-riseup/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileRiseUpGroup
Tech Hub JF,"Tech Hub JF é uma comunidade de tecnologia em Juiz de Fora e região, com o propósito é conectar profissionais e entusiastas através de encontros, projetos colaborativos e eventos. Sempre busca de fomentar a inovação, promover o aprimoramento técnico, gerar networking e inspirar o aprendizado.",/2026/assets/images/comunidade_tech_hub_jf.png,Tecnologia,https://www.instagram.com/techhubjf/,,,https://techhubjf.org/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=TechHubJF
Pessoas de Produto,"Fundada em 2021 por Paulo Coimbra, a Pessoas de Produto conecta líderes, gestores e entusiastas de Product Management e tecnologia. Mais que networking, promove troca genuína, debates sobre estratégia, IA e carreira, além de eventos e uma comunidade ativa no WhatsApp.",/2026/assets/images/comunidade_pessoas_de_produtos.png,Produto;Design,,,https://www.linkedin.com/company/pessoasdeproduto/,https://www.pessoasdeproduto.com.br,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=PessoasdeProduto
Agile Flow Curitiba,"O Agile Flow Curitiba é uma comunidade criada em 2023 para conectar profissionais de agilidade, produtos e inovação. Promove eventos mensais com especialistas e líderes do mercado, incentivando colaboração, troca de conhecimento e transformação cultural para pessoas e organizações.",/2026/assets/images/comunidade_agile_flow.png,Agilidade;Produto;Liderança,https://www.instagram.com/agileflowcwb,,https://www.linkedin.com/company/agileflowcwb/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileFlowCuritiba
Manas Tech,"Somos uma comunidade amazônica que impulsiona a inclusão e o protagonismo feminino em tecnologia e inovação. Atuamos na formação, inspiração e conexão de mulheres, contribuindo para o desenvolvimento do ecossistema tecnológico da Região Norte e para a geração de oportunidades na região.",/2026/assets/images/comunidade_manas_tech.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Liderança,https://www.instagram.com/manastech_,,https://www.linkedin.com/company/manas-tech-oficial/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ManasTech
Love The Problem Podcast,"O Love the Problem é o podcast oficial da Nower Consultoria e K21 Educação. Um espaço leve e direto para discutir os desafios reais das organizações. Desmistificamos temas como estratégia, gestão, liderança, produtos e governança, focando no que realmente importa: gerar impacto e valor de verdade.",/2026/assets/images/comunidade_love_the_problem_podcast.png,Agilidade;Produto;Inteligência Artificial;Liderança;Estratégia;Governança;Transformação Digital;Gestão,https://www.instagram.com/lovetheproblem/,,,https://br.k21.global/podcast,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=LoveTheProblem
PHP Manaus,"A PHP Manaus é mais do que apenas uma comunidade de programadores — somos um ponto de encontro de desenvolvedores, entusiastas e profissionais da área de tecnologia que desejam crescer juntos, compartilhar conhecimento e criar soluções inovadoras utilizando PHP e outras tecnologias relacionadas.",/2026/assets/images/comunidade_comunidade_php_manus.png,Tecnologia,https://www.instagram.com/phpmanaus?igsh=ZWdxMnB4eHI5aHI0,https://youtube.com/@phpmanaus?si=4wGh36VFP1MHangr,,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=PHPManaus
SouJava,"O SouJava é um grupo de usuários formado por desenvolvedores e evangelistas que promove o fortalecimento e a profissionalização do Java no Brasil. Referência mundial, realiza eventos, encontros e ações online, apoiando a comunidade na aplicação da tecnologia Java em projetos reais.",/2026/assets/images/comunidade_sou_java.png,Desenvolvimento,,,https://www.linkedin.com/company/soujava/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=SouJava
Product Guru's,"O maior canal de conteúdo direto ao ponto sobre Produto, Negócios, Carreira e Tecnologia.Entrevistas reais e sem filtro com PMs, founders, builders de IA e líderes de Nubank, iFood, Mercado Livre, Itaú outras empresas, startups e scale-ups.",/2026/assets/images/comunidade_product_gurus.png,Produto;Inteligência Artificial;Liderança,,https://www.youtube.com/@productgurus,,https://www.productgurus.com.br/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ProductGurus
DevParana,"A DevParaná é uma comunidade de tecnologia sem fins lucrativos que conecta profissionais, estudantes e empresas em todo o Paraná. Há mais de 10 anos promove eventos, meetups e conferências, fortalecendo o ecossistema de tecnologia e compartilhamento de conhecimento no estado.",/2026/assets/images/comunidade_dev_parana.png,Agilidade;Desenvolvimento;Tecnologia,http://instagram.com/devparana,,,,,http://meetup.com/developerparana,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=DevParana
Coletivo Ação,"Somos uma comunidade de prática formada por facilitadores, líderes, agilistas e profissionais apaixonados por transformação organizacional. Compartilhamos conhecimento, experimentamos novas abordagens e construímos aprendizagem coletiva para gerar impacto real em pessoas, times e organizações.",/2026/assets/images/comunidade_coletivo_acao.png,Agilidade;Liderança,https://www.instagram.com/somoscoletivoacao/,,https://www.linkedin.com/company/coletivo-acao/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ColetivoACAo
Agile Club,"Agile Club é um espaço criado para reunir profissionais e entusiastas de agilidade e liderança. Temos encontros com mentorias gratuitas, partilha de conteúdos exclusivos sobre agilidade, além de muitas oportunidades de networking.<br/>Nosso objetivo é compartilhar conhecimento e fortalecer os conceitos perdidos da agilidade.",/2026/assets/images/comunidade_agile_club.jpg,Agilidade;Produto;Liderança,,,,https://agileclub.yevenb.com,https://chat.whatsapp.com/LVscrtfCKzK2rEAOtP8iSL,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileClub
ProductTank São Paulo,"Participe do ProductTank São Paulo! Um meetup gratuito que reúne a comunidade de produto para talks, networking e discussões sobre estratégia e desenvolvimento de produtos. Presente em mais de 200 cidades, é organizado por voluntários e faz parte da rede global Mind the Product.",/2026/assets/images/comunidade_product_tank_sao_paulo.png,Agilidade;Produto;Liderança,https://www.instagram.com/producttanksp/,,https://www.linkedin.com/company/product-tank-s%C3%A3o-paulo/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=ProductTankSP
WoHackers,"A WoHackers foi fundada por Beatriz e Yuki para ampliar a participação feminina na tecnologia por meio de hackathons, inovação e desenvolvimento profissional.",/2026/assets/images/comunidade_wo_hackers.png,Agilidade;Produto;Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,,,https://www.linkedin.com/company/wohackers/?viewAsMember=true,,https://chat.whatsapp.com/EHz7v2d8dXxKoXwfEeDtQC,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=WoHackers
BRAVAS In Tech,"​A BRAVAS In Tech é uma comunidade de meninas e mulheres unidas em prol de revolucionar o mercado de Tecnologia através do protagonismo feminino. Nosso propósito é valorizar, promover a conexão e impulsionar a carreira de mulheres de todas as idades através da troca de experiências e mentorias para construir um setor mais inclusivo e diverso.",/2026/assets/images/comunidade_bravas_in_tech.png,Desenvolvimento;Tecnologia;Inteligência Artificial;Design;Liderança,,,https://www.linkedin.com/company/bravasintech,https://www.bravasintech.com/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=BRAVASInTech
Java Amazonas,"A comunidade foi criada com o intuito de promover a linguagem de programação Java no Amazonas. Ela representa uma forma de conectar, comunicar e colaborar com outros desenvolvedores do estado, compartilhando conhecimentos com o objetivo de expandir e fortalecer as comunidades de tecnologia da região.",/2026/assets/images/comunidade_java_amazonas.png,Desenvolvimento;Tecnologia,,,,https://javaamazonas.com.br/,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=JavaAmazonas
Agile Jampa,"O Agile Jampa já é consolidado como o maior evento de Agilidade, Inovação e Gestão de Projetos do estado da Paraíba. Muito mais do que um encontro, nós somos o espaço definitivo para conectar, inspirar e transformar o ecossistema de tecnologia da região.",/2026/assets/images/comunidade_agile_jampa.png,Agilidade;Produto;Tecnologia;Inteligência Artificial;Liderança;Inovação,https://www.instagram.com/agile.jampa/,,https://www.linkedin.com/company/agile-jampa/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AgileJampa
Queens of Deploy,"​O principal objetivo da Queens of Deploy é criar um espaço acolhedor, seguro e respeitoso para mulheres na área de tecnologia, onde todas possam crescer, compartilhar conhecimentos e superar desafios juntas.",/2026/assets/images/comunidade_queens_of_deploy.jpeg,Desenvolvimento;Tecnologia;Carreira de mulheres,,,https://www.linkedin.com/company/code-queens-dev/,,https://chat.whatsapp.com/KOKFfsXGD1PBVWvAXXNbcb,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=QueensofDeploy
Mulheres Agilistas,"Apoiar mulheres da área de agilidade a navegar suas transições de carreira, seja para produto, gestão, tech ou outras áreas.",/2026/assets/images/mulheres_agilistas.png,Agilidade;Tecnologia;Inteligência Artificial;Liderança;Transição de Carreira,https://www.instagram.com/mulheresagilistas/,,https://www.linkedin.com/company/mulheres-agilistas,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=MulheresAgilistas
Agile Healthcare,"A Comunidade de Agilidade em Saúde conecta educação, pesquisa e prática para transformar a saúde com colaboração e foco em valor. Baseada na metodologia Lean Agile Healthcare, promove aprendizado, desenvolvimento de pessoas e práticas ágeis para gerar impacto em profissionais e organizações.",/2026/assets/images/agile_healthcare.png,Agilidade;Liderança;Saúde,https://www.instagram.com/agilehealthcare/,,https://www.linkedin.com/company/agile-healthcare-institute/,,,,1,2,https://www.even3.com.br/agilebrazil2026-746128?cp=AGILEHealthcare
Scrum Master Diferenciado,"Somos uma comunidade de Scrum Masters que tem como objetivo ensinar, através de palestras, cursos e Lean Coffees a prática do dia a dia do SM na Liderança de uma Squad. A comunicade existe há 2 anos e conta com 611 Scrum Masters. Luiz Ribeiro é o organizador de todos os eventos.",/2026/assets/images/scrum_master_diferenciado.png,Agilidade;Tecnologia;Inteligência Artificial;Liderança,,,https://www.linkedin.com/company/scrum-master-diferenciado/,,https://chat.whatsapp.com/HVY5bNHJ4xmLKtqNccvCgK,,1,200,https://www.even3.com.br/agilebrazil2026-746128?cp=SMDiferenciado
